Day,S,U3,U1.5,U0.75,U0.5,D3,D1.5,D0.75,D0.5
-14,20,20,20,20,20,20,20,20,20
-10,20,20,20,20,20,20,20,20,20
0,20,20,20,20,20,20,20,20,20
0,20,21.5,21.5,21.5,21.5,18.5,18.5,18.5,18.5
4,20,21.5,21.5,21.5,21.5,18.5,18.5,18.5,18.5
4,20,23,21.5,21.5,21.5,17,18.5,18.5,18.5
7,20,23,21.5,21.5,21.5,17,18.5,18.5,18.5
7,20,24.5,23,21.5,21.5,15.5,17,18.5,18.5
11,20,24.5,23,21.5,21.5,15.5,17,18.5,18.5
11,20,26,23,21.5,21.5,14,17,18.5,18.5
14,20,26,23,21.5,21.5,14,17,18.5,18.5
14,20,26,24.5,23,21.5,14,15.5,17,18.5
18,20,26,24.5,23,21.5,14,15.5,17,18.5
18,20,26,24.5,23,21.5,14,15.5,17,18.5
21,20,26,24.5,23,21.5,14,15.5,17,18.5
21,20,26,26,23,23,14,14,17,17
25,20,26,26,23,23,14,14,17,17
25,20,26,26,23,23,14,14,17,17
28,20,26,26,23,23,14,14,17,17
28,20,26,26,24.5,23,14,14,15.5,17
32,20,26,26,24.5,23,14,14,15.5,17
32,20,26,26,24.5,23,14,14,15.5,17
35,20,26,26,24.5,23,14,14,15.5,17
35,20,26,26,24.5,23,14,14,15.5,17
39,20,26,26,24.5,23,14,14,15.5,17
39,20,26,26,24.5,23,14,14,15.5,17
42,20,26,26,24.5,23,14,14,15.5,17
42,20,26,26,24.5,24.5,14,14,15.5,15.5
46,20,26,26,24.5,24.5,14,14,15.5,15.5
46,20,26,26,26,24.5,14,14,14,15.5
49,20,26,26,26,24.5,14,14,14,15.5
53,20,26,26,26,24.5,14,14,14,15.5
56,20,26,26,26,24.5,14,14,14,15.5
60,20,26,26,26,24.5,14,14,14,15.5
63,20,26,26,26,24.5,14,14,14,15.5
63,20,26,26,26,26,14,14,14,14
67,20,26,26,26,26,14,14,14,14
70,20,26,26,26,26,14,14,14,14